study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJNA524703	SAMN11031290	SRX5450839	SRR8652796	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/006/SRR8652796/SRR8652796_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/006/SRR8652796/SRR8652796_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/006/SRR8652796
PRJNA524703	SAMN11031289	SRX5450838	SRR8652797	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/007/SRR8652797/SRR8652797_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/007/SRR8652797/SRR8652797_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/007/SRR8652797
PRJNA524703	SAMN11031288	SRX5450837	SRR8652798	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/008/SRR8652798/SRR8652798_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/008/SRR8652798/SRR8652798_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/008/SRR8652798
PRJNA524703	SAMN11031287	SRX5450836	SRR8652799	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/009/SRR8652799/SRR8652799_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/009/SRR8652799/SRR8652799_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/009/SRR8652799
PRJNA524703	SAMN11031286	SRX5450835	SRR8652800	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/000/SRR8652800/SRR8652800_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/000/SRR8652800/SRR8652800_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/000/SRR8652800
PRJNA524703	SAMN11031285	SRX5450834	SRR8652801	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/001/SRR8652801/SRR8652801_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/001/SRR8652801/SRR8652801_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/001/SRR8652801
PRJNA524703	SAMN11031284	SRX5450833	SRR8652802	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/002/SRR8652802/SRR8652802_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/002/SRR8652802/SRR8652802_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/002/SRR8652802
PRJNA524703	SAMN11031283	SRX5450832	SRR8652803	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/003/SRR8652803/SRR8652803_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/003/SRR8652803/SRR8652803_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/003/SRR8652803
PRJNA524703	SAMN11031349	SRX5450831	SRR8652804	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/004/SRR8652804/SRR8652804_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/004/SRR8652804/SRR8652804_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/004/SRR8652804
PRJNA524703	SAMN11031351	SRX5450830	SRR8652805	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/005/SRR8652805/SRR8652805_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/005/SRR8652805/SRR8652805_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/005/SRR8652805
PRJNA524703	SAMN11031347	SRX5450829	SRR8652806	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/006/SRR8652806/SRR8652806_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/006/SRR8652806/SRR8652806_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/006/SRR8652806
PRJNA524703	SAMN11031348	SRX5450828	SRR8652807	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/007/SRR8652807/SRR8652807_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/007/SRR8652807/SRR8652807_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/007/SRR8652807
PRJNA524703	SAMN11031354	SRX5450827	SRR8652808	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/008/SRR8652808/SRR8652808_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/008/SRR8652808/SRR8652808_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/008/SRR8652808
PRJNA524703	SAMN11031355	SRX5450826	SRR8652809	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/009/SRR8652809/SRR8652809_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/009/SRR8652809/SRR8652809_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/009/SRR8652809
PRJNA524703	SAMN11031352	SRX5450825	SRR8652810	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/000/SRR8652810/SRR8652810_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/000/SRR8652810/SRR8652810_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/000/SRR8652810
PRJNA524703	SAMN11031353	SRX5450824	SRR8652811	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/001/SRR8652811/SRR8652811_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/001/SRR8652811/SRR8652811_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/001/SRR8652811
PRJNA524703	SAMN11031368	SRX5450823	SRR8652812	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/002/SRR8652812/SRR8652812_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/002/SRR8652812/SRR8652812_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/002/SRR8652812
PRJNA524703	SAMN11031369	SRX5450822	SRR8652813	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/003/SRR8652813/SRR8652813_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/003/SRR8652813/SRR8652813_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/003/SRR8652813
PRJNA524703	SAMN11031388	SRX5450821	SRR8652814	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/004/SRR8652814/SRR8652814_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/004/SRR8652814/SRR8652814_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/004/SRR8652814
PRJNA524703	SAMN11031389	SRX5450820	SRR8652815	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/005/SRR8652815/SRR8652815_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/005/SRR8652815/SRR8652815_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/005/SRR8652815
PRJNA524703	SAMN11031380	SRX5450819	SRR8652816	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/006/SRR8652816/SRR8652816_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/006/SRR8652816/SRR8652816_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/006/SRR8652816
PRJNA524703	SAMN11031381	SRX5450818	SRR8652817	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/007/SRR8652817/SRR8652817_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/007/SRR8652817/SRR8652817_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/007/SRR8652817
PRJNA524703	SAMN11031382	SRX5450817	SRR8652818	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/008/SRR8652818/SRR8652818_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/008/SRR8652818/SRR8652818_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/008/SRR8652818
PRJNA524703	SAMN11031383	SRX5450816	SRR8652819	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/009/SRR8652819/SRR8652819_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/009/SRR8652819/SRR8652819_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/009/SRR8652819
PRJNA524703	SAMN11031384	SRX5450815	SRR8652820	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/000/SRR8652820/SRR8652820_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/000/SRR8652820/SRR8652820_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/000/SRR8652820
PRJNA524703	SAMN11031385	SRX5450814	SRR8652821	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/001/SRR8652821/SRR8652821_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/001/SRR8652821/SRR8652821_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/001/SRR8652821
